ID,Warehouse Block,Shipment Mode,Customer Care Calls,Customer Rating,Product Cost,Previous Orders,Product Priority,Gender,Discount Offered,Shipment Weight (g),Delivery Status,
1,D,Flight,4,2,177,3,low,female,44.0%,1233,On Time,
2,F,Flight,4,5,216,2,low,male,59.0%,3088,On Time,
3,A,Flight,2,2,183,4,low,male,48.0%,3374,On Time,
4,B,Flight,3,3,176,4,medium,male,10.0%,1177,On Time,
5,C,Flight,2,2,184,3,medium,female,46.0%,2484,On Time,
6,F,Flight,3,1,162,3,medium,female,12.0%,1417,On Time,
7,D,Flight,3,4,250,3,low,female,3.0%,2371,On Time,
8,F,Flight,4,1,233,2,low,female,48.0%,2804,On Time,
9,A,Flight,3,4,150,3,low,female,11.0%,1861,On Time,
10,B,Flight,3,2,164,3,medium,female,29.0%,1187,On Time,
11,C,Flight,3,4,189,2,medium,male,12.0%,2888,On Time,
12,F,Flight,4,5,232,3,medium,female,32.0%,3253,On Time,
13,D,Flight,3,5,198,3,medium,female,1.0%,3667,On Time,
14,F,Flight,4,4,275,3,high,male,29.0%,2602,On Time,
15,A,Flight,4,3,152,3,low,male,43.0%,1009,On Time,
16,B,Flight,4,3,227,3,low,female,45.0%,2707,On Time,
17,C,Flight,3,4,143,2,medium,female,6.0%,1194,On Time,
18,F,Ship,5,5,227,3,medium,male,36.0%,3952,On Time,
19,D,Ship,5,5,239,3,high,male,18.0%,2495,On Time,
20,F,Ship,4,5,145,3,medium,male,45.0%,1059,On Time,
21,A,Ship,3,3,161,2,medium,female,38.0%,1521,On Time,
22,B,Ship,3,1,232,4,medium,female,51.0%,2899,On Time,
23,C,Ship,2,5,156,2,low,male,2.0%,1750,On Time,
24,F,Ship,4,3,211,3,high,male,12.0%,3922,On Time,
25,D,Ship,4,5,251,2,medium,female,28.0%,3561,On Time,
26,F,Ship,3,1,225,4,low,male,29.0%,3496,On Time,
27,A,Ship,4,1,172,3,high,female,24.0%,1066,On Time,
28,B,Ship,5,1,162,3,medium,male,31.0%,1435,On Time,
29,C,Ship,2,3,234,4,low,male,44.0%,3134,On Time,
30,F,Ship,5,4,183,2,low,female,36.0%,3819,On Time,
31,D,Ship,3,4,266,2,medium,female,38.0%,2741,On Time,
32,F,Ship,5,3,257,2,low,female,61.0%,3341,On Time,
33,A,Ship,3,1,223,3,low,female,22.0%,3795,On Time,
34,B,Ship,4,2,234,3,medium,male,4.0%,3261,On Time,
35,C,Ship,4,2,227,4,medium,female,22.0%,2460,On Time,
36,F,Ship,5,4,149,3,medium,female,44.0%,1811,On Time,
37,D,Ship,3,5,137,4,high,female,62.0%,1477,On Time,
38,F,Ship,2,4,181,6,medium,female,16.0%,3605,On Time,
39,A,Ship,5,1,215,4,low,female,56.0%,3905,On Time,
40,B,Ship,4,2,269,5,low,female,45.0%,2383,On Time,
41,C,Ship,5,1,227,2,low,male,15.0%,3798,On Time,
42,F,Ship,5,5,139,4,medium,male,61.0%,1265,On Time,
43,D,Ship,3,5,137,2,medium,male,38.0%,1647,On Time,
44,F,Ship,3,1,174,2,low,male,44.0%,1556,On Time,
45,A,Ship,3,1,151,2,low,male,29.0%,1328,On Time,
46,B,Ship,5,1,210,3,low,female,9.0%,2944,On Time,
47,C,Ship,3,4,169,4,medium,female,32.0%,1245,On Time,
48,F,Ship,5,1,160,2,low,male,32.0%,1576,On Time,
49,D,Ship,5,4,190,2,medium,male,9.0%,3753,On Time,
50,F,Ship,5,3,216,3,low,female,40.0%,2146,On Time,
51,A,Ship,4,1,183,3,low,male,37.0%,2042,On Time,
52,B,Ship,4,4,141,3,low,male,22.0%,1735,On Time,
53,C,Ship,4,3,165,3,low,female,44.0%,1320,On Time,
54,F,Ship,2,1,170,3,low,male,41.0%,1128,On Time,
55,D,Ship,4,3,203,3,high,male,12.0%,3539,On Time,
56,F,Ship,2,5,246,5,low,male,46.0%,2437,On Time,
57,A,Ship,3,3,238,3,low,female,61.0%,3096,On Time,
58,B,Ship,3,3,193,3,medium,female,29.0%,3453,On Time,
59,C,Ship,5,5,141,3,high,male,41.0%,1367,On Time,
60,F,Ship,4,1,150,3,high,female,17.0%,1923,On Time,
61,D,Ship,3,1,221,3,low,female,64.0%,2794,On Time,
62,F,Ship,3,3,179,3,medium,male,52.0%,1158,On Time,
63,A,Ship,5,1,105,6,medium,male,62.0%,1292,On Time,
64,B,Ship,3,1,177,3,medium,male,61.0%,1880,On Time,
65,C,Ship,4,5,261,2,high,male,49.0%,3045,On Time,
66,F,Ship,3,2,202,3,low,male,49.0%,2881,On Time,
67,D,Ship,3,2,109,3,medium,female,15.0%,1710,On Time,
68,F,Ship,3,3,158,3,low,female,6.0%,1878,On Time,
69,A,Ship,4,2,231,4,medium,female,6.0%,2512,On Time,
70,B,Ship,3,5,206,3,medium,male,39.0%,2929,On Time,
71,C,Ship,5,1,187,4,high,male,14.0%,3849,On Time,
72,F,Ship,5,5,230,2,low,female,2.0%,2229,On Time,
73,D,Ship,5,5,232,3,medium,female,33.0%,2998,On Time,
74,F,Ship,4,5,215,3,medium,female,21.0%,3984,On Time,
75,A,Ship,6,1,238,6,low,female,13.0%,2442,On Time,
76,B,Ship,4,1,266,3,low,female,23.0%,3775,On Time,
77,C,Ship,2,3,158,2,medium,female,36.0%,1788,On Time,
78,F,Ship,3,3,113,3,low,female,43.0%,1518,On Time,
79,D,Ship,3,4,223,3,low,male,18.0%,3959,On Time,
